Species1,Family1,Order1,Beak.Length_Culmen,Beak.Width,Beak.Depth,Tarsus.Length,Wing.Length,Hand-Wing.Index,Tail.Length,Mass,Habitat,Trophic.Level,Trophic.Niche,Primary.Lifestyle,Migration,Range.Size,Min.Latitude,Max.Latitude,Centroid.Longitude,Centroid.Latitude,bio_1,bio_4,bio_5,bio_6,bio_12
Buteo brachyurus,Accipitridae,Accipitriformes,31.1,10.4,14.9,53.8,307.6,29.7,171.0,496.0,Forest,Carnivore,Vertivore,Aerial,1.0,14372802.04,-30.69,29.85,-62.04,-5.09,26.782833099365234,28.43986701965332,32.49399948120117,21.516000747680664,2388.0
Buteo buteo,Accipitridae,Accipitriformes,35.9,12.6,16.6,75.8,382.9,38.3,214.4,759.1,Grassland,Carnivore,Vertivore,Insessorial,2.0,11719424.27,14.89,67.81,40.23,52.89,4.9431352615356445,1105.89501953125,24.339000701904297,-14.246749877929688,566.0
Buteo galapagoensis,Accipitridae,Accipitriformes,40.9,13.9,19.3,77.0,402.6,43.6,235.2,1137.4,Woodland,Carnivore,Vertivore,Aerial,1.0,5639.54,-1.41,0.65,-91.13,-0.44,21.616403579711914,138.84368896484375,28.306842803955078,15.041842460632324,275.0
Buteo hemilasius,Accipitridae,Accipitriformes,40.7,14.7,18.8,80.0,467.2,38.2,251.4,1358.9,Grassland,Carnivore,Vertivore,Generalist,1.0,5366251.83,28.27,54.14,100.83,42.4,8.39859390258789,1389.0345458984375,33.22724914550781,-18.215499877929688,46.0
Buteo jamaicensis,Accipitridae,Accipitriformes,37.6,14.4,20.2,80.9,402.8,34.1,212.2,1101.2,Woodland,Carnivore,Vertivore,Insessorial,3.0,15462822.34,8.36,68.66,-105.33,45.5,7.802572727203369,1040.0546875,31.239749908447266,-13.819999694824219,348.0
Buteo japonicus,Accipitridae,Accipitriformes,34.5,11.7,15.8,77.0,395.0,41.2,212.0,759.1,Grassland,Carnivore,Vertivore,Insessorial,2.0,4465171.4,24.23,64.97,126.58,54.33,-4.3745832443237305,1618.611083984375,23.609750747680664,-32.309749603271484,591.0
Buteo lineatus,Accipitridae,Accipitriformes,33.1,11.8,16.3,74.1,319.0,33.4,172.8,603.7,Woodland,Carnivore,Vertivore,Aerial,3.0,3542030.5,24.95,47.85,-86.88,37.72,13.307812690734863,904.5206298828125,31.144500732421875,-5.088500022888184,1212.0
Buteo nitidus,Accipitridae,Accipitriformes,30.3,11.2,15.3,64.6,247.3,27.5,170.6,519.0,Forest,Carnivore,Vertivore,Insessorial,1.0,10412658.23,-27.61,12.46,-57.82,-6.6,26.565000534057617,37.118892669677734,33.51274871826172,19.590999603271484,2251.0
Buteo oreophilus,Accipitridae,Accipitriformes,35.1,11.4,15.3,70.9,346.0,36.0,182.5,700.0,Forest,Carnivore,Vertivore,Insessorial,1.0,674707.01,-11.21,13.65,35.38,1.09,13.283823013305664,72.6255111694336,21.006500244140625,6.734499931335449,1217.0
Buteo platypterus,Accipitridae,Accipitriformes,28.3,11.1,14.4,53.4,277.7,36.9,178.8,453.7,Forest,Carnivore,Vertivore,Insessorial,3.0,4864047.78,11.13,55.3,-87.09,42.9,9.088146209716797,844.9097290039062,25.349498748779297,-6.016749858856201,868.0
Buteo refectus,Accipitridae,Accipitriformes,33.4,11.8,16.1,64.9,346.0,36.3,173.3,759.1,Grassland,Carnivore,Vertivore,Insessorial,2.0,411852.38,26.58,34.75,82.67,29.54,1.8250000476837158,603.6466064453125,15.045249938964844,-12.555000305175781,489.0
Buteo regalis,Accipitridae,Accipitriformes,41.3,18.3,20.2,81.6,431.0,41.3,240.6,1437.2,Grassland,Carnivore,Vertivore,Generalist,3.0,2780053.23,33.21,53.3,-108.76,43.14,6.561041355133057,1010.6752319335938,30.105749130249023,-14.625,227.0
Buteo ridgwayi,Accipitridae,Accipitriformes,26.5,9.8,14.2,65.8,222.5,33.4,144.2,315.0,Forest,Carnivore,Vertivore,Insessorial,1.0,210.23,18.97,19.27,-69.57,19.07,24.9506893157959,123.76107025146484,31.17066192626953,18.14710807800293,2102.0
Buteo rufinus,Accipitridae,Accipitriformes,41.6,14.0,19.8,86.1,447.5,40.5,244.5,1166.2,Grassland,Carnivore,Vertivore,Generalist,3.0,8574436.83,13.22,53.66,49.85,40.86,13.241832733154297,730.01611328125,26.869998931884766,1.8337500095367432,221.0
Buteo rufofuscus,Accipitridae,Accipitriformes,39.8,13.4,17.9,84.9,413.2,33.8,190.4,1530.0,Grassland,Carnivore,Vertivore,Generalist,2.0,1533534.66,-34.84,-19.37,23.03,-28.14,17.430084228515625,558.01318359375,31.750749588012695,0.37150001525878906,372.0
Buteo socotraensis,Accipitridae,Accipitriformes,37.8,14.1,18.0,84.0,323.0,35.2,176.7,759.1,Grassland,Carnivore,Vertivore,Insessorial,2.0,3622.4,12.3,12.71,53.87,12.51,23.98520851135254,141.2034149169922,30.475379943847656,17.810638427734375,132.0
Buteo solitarius,Accipitridae,Accipitriformes,31.8,13.2,15.9,72.7,270.2,34.1,160.5,500.9,Forest,Carnivore,Vertivore,Insessorial,1.0,6957.48,18.99,20.27,-155.53,19.6,10.35560417175293,145.8365020751953,17.899250030517578,2.6417500972747803,771.0
Buteo swainsoni,Accipitridae,Accipitriformes,35.3,13.6,16.6,60.7,383.7,46.6,193.6,946.6,Grassland,Carnivore,Vertivore,Insessorial,3.0,4303055.16,24.73,57.08,-107.07,40.95,3.2033958435058594,809.7723388671875,24.378000259399414,-12.492250442504883,494.0
Buteo trizonatus,Accipitridae,Accipitriformes,34.0,11.4,15.1,67.6,345.8,37.9,184.0,568.0,Forest,Carnivore,Vertivore,Insessorial,1.0,101450.72,-34.84,-32.2,22.91,-33.55,14.30496883392334,382.47149658203125,25.961000442504883,3.0822501182556152,454.0
Buteo ventralis,Accipitridae,Accipitriformes,37.2,13.0,19.0,76.8,359.0,33.0,221.5,1190.5,Forest,Carnivore,Vertivore,Insessorial,2.0,536992.07,-55.92,-35.01,-71.73,-47.95,3.315093755722046,437.9854431152344,14.968500137329102,-6.32450008392334,282.0
Buteogallus aequinoctialis,Accipitridae,Accipitriformes,36.1,11.2,16.0,73.3,316.2,24.9,147.2,657.6,Woodland,Carnivore,Aquatic predator,Insessorial,1.0,132570.12,-25.99,10.72,-47.36,-3.65,25.869874954223633,45.84126281738281,31.968250274658203,19.855751037597656,1827.0
Buteogallus coronatus,Accipitridae,Accipitriformes,60.9,15.8,29.7,119.4,533.0,33.0,262.2,2950.0,Shrubland,Carnivore,Vertivore,Insessorial,2.0,4233989.28,-38.92,-9.72,-55.75,-22.07,21.690759658813477,264.328125,30.22224998474121,10.869999885559082,1511.0
